timePeriodEnd,obis,valueTimeStamp,value,status
2020-09-01T00:00:00,1-1:1.6.1,2020-08-10T06:15:00,5.0000,V
2020-09-01T00:00:00,1-1:1.6.2,2020-08-14T06:00:00,2.9000,V
2020-09-01T00:00:00,1-1:1.8.1,,12813.6000,V
2020-09-01T00:00:00,1-1:1.8.2,,27451.5000,V
2020-09-01T00:00:00,1-1:2.6.1,2020-08-01T11:45:00,5.9000,V
2020-09-01T00:00:00,1-1:2.6.2,2020-08-01T11:45:00,5.9000,V
2020-09-01T00:00:00,1-1:2.8.1,,13024.0000,V
2020-09-01T00:00:00,1-1:2.8.2,,6719.2000,V
2020-09-01T00:00:00,1-1:5.8.1,,360.0000,V
2020-09-01T00:00:00,1-1:5.8.2,,635.0000,V
2020-09-01T00:00:00,1-1:6.8.1,,41.0000,V
2020-09-01T00:00:00,1-1:6.8.2,,11.0000,V
2020-09-01T00:00:00,1-1:7.8.1,,1603.0000,V
2020-09-01T00:00:00,1-1:7.8.2,,789.0000,V
2020-09-01T00:00:00,1-1:8.8.1,,2198.0000,V
2020-09-01T00:00:00,1-1:8.8.2,,5977.0000,V
