timePeriodEnd,obis,valueTimeStamp,value,status
2020-11-01T00:00:00,1-1:1.6.1,2020-10-26T14:30:00,6.5000,V
2020-11-01T00:00:00,1-1:1.6.2,2020-10-27T07:00:00,5.4000,V
2020-11-01T00:00:00,1-1:1.8.1,,13563.8000,V
2020-11-01T00:00:00,1-1:1.8.2,,28589.4000,V
2020-11-01T00:00:00,1-1:2.6.1,2020-10-03T13:30:00,4.5000,V
2020-11-01T00:00:00,1-1:2.6.2,2020-10-03T13:30:00,4.5000,V
2020-11-01T00:00:00,1-1:2.8.1,,13275.3000,V
2020-11-01T00:00:00,1-1:2.8.2,,6941.5000,V
2020-11-01T00:00:00,1-1:5.8.1,,365.0000,V
2020-11-01T00:00:00,1-1:5.8.2,,636.0000,V
2020-11-01T00:00:00,1-1:6.8.1,,41.0000,V
2020-11-01T00:00:00,1-1:6.8.2,,12.0000,V
2020-11-01T00:00:00,1-1:7.8.1,,1711.0000,V
2020-11-01T00:00:00,1-1:7.8.2,,849.0000,V
2020-11-01T00:00:00,1-1:8.8.1,,2437.0000,V
2020-11-01T00:00:00,1-1:8.8.2,,6524.0000,V
