TimePeriodEnd,OBIS,Value,Status
2022-04-01T00:00:00,1-1:1.6.1,9.1000,V
2022-04-01T00:00:00,1-1:1.6.2,6.6000,V
2022-04-01T00:00:00,1-1:1.8.1,23746.5000,V
2022-04-01T00:00:00,1-1:1.8.2,41448.2000,V
2022-04-01T00:00:00,1-1:2.6.1,4.7000,V
2022-04-01T00:00:00,1-1:2.6.2,4.7000,V
2022-04-01T00:00:00,1-1:2.8.1,15418.2000,V
2022-04-01T00:00:00,1-1:2.8.2,8717.1000,V
2022-04-01T00:00:00,1-1:5.8.1,535.0000,V
2022-04-01T00:00:00,1-1:5.8.2,699.0000,V
2022-04-01T00:00:00,1-1:6.8.1,51.0000,V
2022-04-01T00:00:00,1-1:6.8.2,13.0000,V
2022-04-01T00:00:00,1-1:7.8.1,2444.0000,V
2022-04-01T00:00:00,1-1:7.8.2,1307.0000,V
2022-04-01T00:00:00,1-1:8.8.1,4225.0000,V
2022-04-01T00:00:00,1-1:8.8.2,10610.0000,V
