TimePeriodEnd,OBIS,Value,Status
2022-01-01T00:00:00,1-1:1.6.1,8.8000,V
2022-01-01T00:00:00,1-1:1.6.2,6.7000,V
2022-01-01T00:00:00,1-1:1.8.1,21517.2000,V
2022-01-01T00:00:00,1-1:1.8.2,38595.6000,V
2022-01-01T00:00:00,1-1:2.6.1,2.1000,V
2022-01-01T00:00:00,1-1:2.6.2,2.1000,V
2022-01-01T00:00:00,1-1:2.8.1,15301.0000,V
2022-01-01T00:00:00,1-1:2.8.2,8483.9000,V
2022-01-01T00:00:00,1-1:5.8.1,482.0000,V
2022-01-01T00:00:00,1-1:5.8.2,676.0000,V
2022-01-01T00:00:00,1-1:6.8.1,50.0000,V
2022-01-01T00:00:00,1-1:6.8.2,13.0000,V
2022-01-01T00:00:00,1-1:7.8.1,2374.0000,V
2022-01-01T00:00:00,1-1:7.8.2,1241.0000,V
2022-01-01T00:00:00,1-1:8.8.1,3901.0000,V
2022-01-01T00:00:00,1-1:8.8.2,9994.0000,V
