TimePeriodEnd,OBIS,Value,Status
2019-03-01T00:00:00,1-1:1.6.1,6.8000,V
2019-03-01T00:00:00,1-1:1.6.2,5.7000,V
2019-03-01T00:00:00,1-1:1.8.1,6339.7000,V
2019-03-01T00:00:00,1-1:1.8.2,17129.0000,V
2019-03-01T00:00:00,1-1:2.6.1,4.0000,V
2019-03-01T00:00:00,1-1:2.6.2,4.0000,V
2019-03-01T00:00:00,1-1:2.8.1,8348.4000,V
2019-03-01T00:00:00,1-1:2.8.2,3611.3000,V
2019-03-01T00:00:00,1-1:5.8.1,306.0000,V
2019-03-01T00:00:00,1-1:5.8.2,607.0000,V
2019-03-01T00:00:00,1-1:6.8.1,33.0000,V
2019-03-01T00:00:00,1-1:6.8.2,8.0000,V
2019-03-01T00:00:00,1-1:7.8.1,447.0000,V
2019-03-01T00:00:00,1-1:7.8.2,181.0000,V
2019-03-01T00:00:00,1-1:8.8.1,672.0000,V
2019-03-01T00:00:00,1-1:8.8.2,1968.0000,V
