timePeriodEnd,obis,valueTimeStamp,value,status
2022-09-01T00:00:00,1-1:1.6.1,2022-08-23T06:45:00,5.7000,V
2022-09-01T00:00:00,1-1:1.6.2,2022-08-18T06:00:00,4.2000,V
2022-09-01T00:00:00,1-1:1.8.1,,24966.7000,V
2022-09-01T00:00:00,1-1:1.8.2,,44095.0000,V
2022-09-01T00:00:00,1-1:2.6.1,2022-08-20T12:30:00,6.1000,V
2022-09-01T00:00:00,1-1:2.6.2,2022-08-20T12:30:00,6.1000,V
2022-09-01T00:00:00,1-1:2.8.1,,17188.1000,V
2022-09-01T00:00:00,1-1:2.8.2,,9922.9000,V
2022-09-01T00:00:00,1-1:5.8.1,,567.0000,V
2022-09-01T00:00:00,1-1:5.8.2,,706.0000,V
2022-09-01T00:00:00,1-1:6.8.1,,67.0000,V
2022-09-01T00:00:00,1-1:6.8.2,,14.0000,V
2022-09-01T00:00:00,1-1:7.8.1,,2904.0000,V
2022-09-01T00:00:00,1-1:7.8.2,,1540.0000,V
2022-09-01T00:00:00,1-1:8.8.1,,4596.0000,V
2022-09-01T00:00:00,1-1:8.8.2,,11884.0000,V
