TimePeriodEnd,OBIS,Value,Status
2021-09-01T00:00:00,1-1:1.6.1,6.5000,V
2021-09-01T00:00:00,1-1:1.6.2,5.1000,V
2021-09-01T00:00:00,1-1:1.8.1,18825.4000,V
2021-09-01T00:00:00,1-1:1.8.2,35481.8000,V
2021-09-01T00:00:00,1-1:2.6.1,5.2000,V
2021-09-01T00:00:00,1-1:2.6.2,5.2000,V
2021-09-01T00:00:00,1-1:2.8.1,15039.6000,V
2021-09-01T00:00:00,1-1:2.8.2,8213.0000,V
2021-09-01T00:00:00,1-1:5.8.1,434.0000,V
2021-09-01T00:00:00,1-1:5.8.2,661.0000,V
2021-09-01T00:00:00,1-1:6.8.1,47.0000,V
2021-09-01T00:00:00,1-1:6.8.2,12.0000,V
2021-09-01T00:00:00,1-1:7.8.1,2247.0000,V
2021-09-01T00:00:00,1-1:7.8.2,1153.0000,V
2021-09-01T00:00:00,1-1:8.8.1,3430.0000,V
2021-09-01T00:00:00,1-1:8.8.2,8988.0000,V
