TimePeriodEnd,OBIS,Value,Status
2019-05-01T00:00:00,1-1:1.6.1,6.3000,V
2019-05-01T00:00:00,1-1:1.6.2,4.9000,V
2019-05-01T00:00:00,1-1:1.8.1,7096.5000,V
2019-05-01T00:00:00,1-1:1.8.2,18496.3000,V
2019-05-01T00:00:00,1-1:2.6.1,6.7000,V
2019-05-01T00:00:00,1-1:2.6.2,6.7000,V
2019-05-01T00:00:00,1-1:2.8.1,8817.1000,V
2019-05-01T00:00:00,1-1:2.8.2,4000.7000,V
2019-05-01T00:00:00,1-1:5.8.1,312.0000,V
2019-05-01T00:00:00,1-1:5.8.2,614.0000,V
2019-05-01T00:00:00,1-1:6.8.1,34.0000,V
2019-05-01T00:00:00,1-1:6.8.2,9.0000,V
2019-05-01T00:00:00,1-1:7.8.1,560.0000,V
2019-05-01T00:00:00,1-1:7.8.2,245.0000,V
2019-05-01T00:00:00,1-1:8.8.1,828.0000,V
2019-05-01T00:00:00,1-1:8.8.2,2342.0000,V
