timePeriodEnd,obis,valueTimeStamp,value,status
2021-01-01T00:00:00,1-1:1.8.1,,15181.3000,V
2021-01-01T00:00:00,1-1:1.8.2,,30083.3000,V
2021-01-01T00:00:00,1-1:2.8.1,,13289.6000,V
2021-01-01T00:00:00,1-1:2.8.2,,6984.2000,V
2021-01-01T00:00:00,1-1:5.8.1,,380.0000,V
2021-01-01T00:00:00,1-1:5.8.2,,639.0000,V
2021-01-01T00:00:00,1-1:6.8.1,,41.0000,V
2021-01-01T00:00:00,1-1:6.8.2,,12.0000,V
2021-01-01T00:00:00,1-1:7.8.1,,1728.0000,V
2021-01-01T00:00:00,1-1:7.8.2,,877.0000,V
2021-01-01T00:00:00,1-1:8.8.1,,2708.0000,V
2021-01-01T00:00:00,1-1:8.8.2,,7048.0000,V
2020-12-01T00:00:00,1-1:1.6.1,2020-11-26T08:15:00,8.4000,V
2020-12-01T00:00:00,1-1:1.6.2,2020-11-27T07:00:00,5.3000,V
2020-12-01T00:00:00,1-1:2.6.1,2020-11-22T12:45:00,2.6000,V
2020-12-01T00:00:00,1-1:2.6.2,2020-11-22T12:45:00,2.6000,V
