timePeriodEnd,obis,valueTimeStamp,value,status
2022-06-01T00:00:00,1-1:1.6.1,2022-05-09T07:00:00,6.5000,V
2022-06-01T00:00:00,1-1:1.6.2,2022-05-02T06:00:00,5.3000,V
2022-06-01T00:00:00,1-1:1.8.1,,24308.7000,V
2022-06-01T00:00:00,1-1:1.8.2,,42680.9000,V
2022-06-01T00:00:00,1-1:2.6.1,2022-05-01T11:30:00,7.1000,V
2022-06-01T00:00:00,1-1:2.6.2,2022-05-01T11:30:00,7.1000,V
2022-06-01T00:00:00,1-1:2.8.1,,16004.8000,V
2022-06-01T00:00:00,1-1:2.8.2,,9062.1000,V
2022-06-01T00:00:00,1-1:5.8.1,,554.0000,V
2022-06-01T00:00:00,1-1:5.8.2,,705.0000,V
2022-06-01T00:00:00,1-1:6.8.1,,61.0000,V
2022-06-01T00:00:00,1-1:6.8.2,,13.0000,V
2022-06-01T00:00:00,1-1:7.8.1,,2604.0000,V
2022-06-01T00:00:00,1-1:7.8.2,,1387.0000,V
2022-06-01T00:00:00,1-1:8.8.1,,4367.0000,V
2022-06-01T00:00:00,1-1:8.8.2,,11104.0000,V
