TimePeriodEnd,OBIS,Value,Status
2019-07-01T00:00:00,1-1:1.6.1,4.4000,V
2019-07-01T00:00:00,1-1:1.6.2,2.9000,V
2019-07-01T00:00:00,1-1:1.8.1,7436.8000,V
2019-07-01T00:00:00,1-1:1.8.2,19463.0000,V
2019-07-01T00:00:00,1-1:2.6.1,7.3000,V
2019-07-01T00:00:00,1-1:2.6.2,7.3000,V
2019-07-01T00:00:00,1-1:2.8.1,9665.9000,V
2019-07-01T00:00:00,1-1:2.8.2,4448.1000,V
2019-07-01T00:00:00,1-1:5.8.1,314.0000,V
2019-07-01T00:00:00,1-1:5.8.2,618.0000,V
2019-07-01T00:00:00,1-1:6.8.1,35.0000,V
2019-07-01T00:00:00,1-1:6.8.2,10.0000,V
2019-07-01T00:00:00,1-1:7.8.1,734.0000,V
2019-07-01T00:00:00,1-1:7.8.2,324.0000,V
2019-07-01T00:00:00,1-1:8.8.1,943.0000,V
2019-07-01T00:00:00,1-1:8.8.2,2760.0000,V
