TimePeriodEnd,OBIS,Value,Status
2019-01-01T00:00:00,1-1:1.6.1,6.3000,V
2019-01-01T00:00:00,1-1:1.6.2,5.3000,V
2019-01-01T00:00:00,1-1:1.8.1,4755.3000,V
2019-01-01T00:00:00,1-1:1.8.2,14460.9000,V
2019-01-01T00:00:00,1-1:2.6.1,1.4000,V
2019-01-01T00:00:00,1-1:2.6.2,1.4000,V
2019-01-01T00:00:00,1-1:2.8.1,8258.1000,V
2019-01-01T00:00:00,1-1:2.8.2,3543.1000,V
2019-01-01T00:00:00,1-1:5.8.1,293.0000,V
2019-01-01T00:00:00,1-1:5.8.2,580.0000,V
2019-01-01T00:00:00,1-1:6.8.1,33.0000,V
2019-01-01T00:00:00,1-1:6.8.2,8.0000,V
2019-01-01T00:00:00,1-1:7.8.1,406.0000,V
2019-01-01T00:00:00,1-1:7.8.2,163.0000,V
2019-01-01T00:00:00,1-1:8.8.1,500.0000,V
2019-01-01T00:00:00,1-1:8.8.2,1685.0000,V
