timePeriodEnd,obis,valueTimeStamp,value,status
2021-04-01T00:00:00,1-1:1.6.1,2021-03-23T07:30:00,8.9000,V
2021-04-01T00:00:00,1-1:1.6.2,2021-03-25T07:00:00,6.4000,V
2021-04-01T00:00:00,1-1:1.8.1,,17486.4000,V
2021-04-01T00:00:00,1-1:1.8.2,,32787.0000,V
2021-04-01T00:00:00,1-1:2.6.1,2021-03-28T12:15:00,5.2000,V
2021-04-01T00:00:00,1-1:2.6.2,2021-03-28T12:15:00,5.2000,V
2021-04-01T00:00:00,1-1:2.8.1,,13468.0000,V
2021-04-01T00:00:00,1-1:2.8.2,,7152.5000,V
2021-04-01T00:00:00,1-1:5.8.1,,411.0000,V
2021-04-01T00:00:00,1-1:5.8.2,,654.0000,V
2021-04-01T00:00:00,1-1:6.8.1,,42.0000,V
2021-04-01T00:00:00,1-1:6.8.2,,12.0000,V
2021-04-01T00:00:00,1-1:7.8.1,,1807.0000,V
2021-04-01T00:00:00,1-1:7.8.2,,933.0000,V
2021-04-01T00:00:00,1-1:8.8.1,,3036.0000,V
2021-04-01T00:00:00,1-1:8.8.2,,7704.0000,V
