TimePeriodEnd,OBIS,Value,Status
2022-07-01T00:00:00,1-1:1.6.1,6.1000,V
2022-07-01T00:00:00,1-1:1.6.2,3.8000,V
2022-07-01T00:00:00,1-1:1.8.1,24564.0000,V
2022-07-01T00:00:00,1-1:1.8.2,43107.9000,V
2022-07-01T00:00:00,1-1:2.6.1,6.0000,V
2022-07-01T00:00:00,1-1:2.6.2,6.0000,V
2022-07-01T00:00:00,1-1:2.8.1,16324.9000,V
2022-07-01T00:00:00,1-1:2.8.2,9376.1000,V
2022-07-01T00:00:00,1-1:5.8.1,560.0000,V
2022-07-01T00:00:00,1-1:5.8.2,706.0000,V
2022-07-01T00:00:00,1-1:6.8.1,63.0000,V
2022-07-01T00:00:00,1-1:6.8.2,14.0000,V
2022-07-01T00:00:00,1-1:7.8.1,2689.0000,V
2022-07-01T00:00:00,1-1:7.8.2,1436.0000,V
2022-07-01T00:00:00,1-1:8.8.1,4453.0000,V
2022-07-01T00:00:00,1-1:8.8.2,11350.0000,V
