TimePeriodEnd,OBIS,Value,Status
2021-10-01T00:00:00,1-1:1.6.1,7.9000,V
2021-10-01T00:00:00,1-1:1.6.2,4.5000,V
2021-10-01T00:00:00,1-1:1.8.1,19145.5000,V
2021-10-01T00:00:00,1-1:1.8.2,36001.6000,V
2021-10-01T00:00:00,1-1:2.6.1,5.0000,V
2021-10-01T00:00:00,1-1:2.6.2,5.0000,V
2021-10-01T00:00:00,1-1:2.8.1,15231.9000,V
2021-10-01T00:00:00,1-1:2.8.2,8362.0000,V
2021-10-01T00:00:00,1-1:5.8.1,442.0000,V
2021-10-01T00:00:00,1-1:5.8.2,662.0000,V
2021-10-01T00:00:00,1-1:6.8.1,49.0000,V
2021-10-01T00:00:00,1-1:6.8.2,12.0000,V
2021-10-01T00:00:00,1-1:7.8.1,2325.0000,V
2021-10-01T00:00:00,1-1:7.8.2,1188.0000,V
2021-10-01T00:00:00,1-1:8.8.1,3524.0000,V
2021-10-01T00:00:00,1-1:8.8.2,9266.0000,V
