TimePeriodEnd,OBIS,Value,Status
2021-12-01T00:00:00,1-1:1.6.1,9.0000,V
2021-12-01T00:00:00,1-1:1.6.2,6.5000,V
2021-12-01T00:00:00,1-1:1.8.1,20565.4000,V
2021-12-01T00:00:00,1-1:1.8.2,37562.9000,V
2021-12-01T00:00:00,1-1:2.6.1,2.7000,V
2021-12-01T00:00:00,1-1:2.6.2,2.7000,V
2021-12-01T00:00:00,1-1:2.8.1,15298.5000,V
2021-12-01T00:00:00,1-1:2.8.2,8479.8000,V
2021-12-01T00:00:00,1-1:5.8.1,471.0000,V
2021-12-01T00:00:00,1-1:5.8.2,668.0000,V
2021-12-01T00:00:00,1-1:6.8.1,50.0000,V
2021-12-01T00:00:00,1-1:6.8.2,13.0000,V
2021-12-01T00:00:00,1-1:7.8.1,2369.0000,V
2021-12-01T00:00:00,1-1:7.8.2,1236.0000,V
2021-12-01T00:00:00,1-1:8.8.1,3772.0000,V
2021-12-01T00:00:00,1-1:8.8.2,9772.0000,V
