TimePeriodEnd,OBIS,Value,Status
2020-12-01T00:00:00,1-1:1.8.1,14329.2000,V
2020-12-01T00:00:00,1-1:1.8.2,29287.9000,V
2020-12-01T00:00:00,1-1:2.8.1,13286.4000,V
2020-12-01T00:00:00,1-1:2.8.2,6974.0000,V
2020-12-01T00:00:00,1-1:5.8.1,375.0000,V
2020-12-01T00:00:00,1-1:5.8.2,637.0000,V
2020-12-01T00:00:00,1-1:6.8.1,41.0000,V
2020-12-01T00:00:00,1-1:6.8.2,12.0000,V
2020-12-01T00:00:00,1-1:7.8.1,1724.0000,V
2020-12-01T00:00:00,1-1:7.8.2,868.0000,V
2020-12-01T00:00:00,1-1:8.8.1,2564.0000,V
2020-12-01T00:00:00,1-1:8.8.2,6794.0000,V
