TimePeriodEnd,OBIS,Value,Status
2022-03-01T00:00:00,1-1:1.6.1,7.8000,V
2022-03-01T00:00:00,1-1:1.6.2,5.6000,V
2022-03-01T00:00:00,1-1:1.8.1,23203.2000,V
2022-03-01T00:00:00,1-1:1.8.2,40597.3000,V
2022-03-01T00:00:00,1-1:2.6.1,4.6000,V
2022-03-01T00:00:00,1-1:2.6.2,4.6000,V
2022-03-01T00:00:00,1-1:2.8.1,15331.6000,V
2022-03-01T00:00:00,1-1:2.8.2,8569.5000,V
2022-03-01T00:00:00,1-1:5.8.1,511.0000,V
2022-03-01T00:00:00,1-1:5.8.2,692.0000,V
2022-03-01T00:00:00,1-1:6.8.1,50.0000,V
2022-03-01T00:00:00,1-1:6.8.2,13.0000,V
2022-03-01T00:00:00,1-1:7.8.1,2395.0000,V
2022-03-01T00:00:00,1-1:7.8.2,1274.0000,V
2022-03-01T00:00:00,1-1:8.8.1,4127.0000,V
2022-03-01T00:00:00,1-1:8.8.2,10392.0000,V
