timePeriodEnd,obis,valueTimeStamp,value,status
2021-07-01T00:00:00,1-1:1.6.1,2021-06-29T15:00:00,4.6000,V
2021-07-01T00:00:00,1-1:1.6.2,2021-06-30T06:00:00,3.3000,V
2021-07-01T00:00:00,1-1:1.8.1,,18360.9000,V
2021-07-01T00:00:00,1-1:1.8.2,,34562.1000,V
2021-07-01T00:00:00,1-1:2.6.1,2021-06-13T12:15:00,6.4000,V
2021-07-01T00:00:00,1-1:2.6.2,2021-06-13T12:15:00,6.4000,V
2021-07-01T00:00:00,1-1:2.8.1,,14402.6000,V
2021-07-01T00:00:00,1-1:2.8.2,,7899.5000,V
2021-07-01T00:00:00,1-1:5.8.1,,427.0000,V
2021-07-01T00:00:00,1-1:5.8.2,,661.0000,V
2021-07-01T00:00:00,1-1:6.8.1,,45.0000,V
2021-07-01T00:00:00,1-1:6.8.2,,12.0000,V
2021-07-01T00:00:00,1-1:7.8.1,,2062.0000,V
2021-07-01T00:00:00,1-1:7.8.2,,1071.0000,V
2021-07-01T00:00:00,1-1:8.8.1,,3240.0000,V
2021-07-01T00:00:00,1-1:8.8.2,,8417.0000,V
