TimePeriodEnd,OBIS,Value,Status
2019-04-01T00:00:00,1-1:1.6.1,7.6000,V
2019-04-01T00:00:00,1-1:1.6.2,5.2000,V
2019-04-01T00:00:00,1-1:1.8.1,6822.5000,V
2019-04-01T00:00:00,1-1:1.8.2,17939.7000,V
2019-04-01T00:00:00,1-1:2.6.1,6.3000,V
2019-04-01T00:00:00,1-1:2.6.2,5.6000,V
2019-04-01T00:00:00,1-1:2.8.1,8520.7000,V
2019-04-01T00:00:00,1-1:2.8.2,3828.0000,V
2019-04-01T00:00:00,1-1:5.8.1,310.0000,V
2019-04-01T00:00:00,1-1:5.8.2,611.0000,V
2019-04-01T00:00:00,1-1:6.8.1,34.0000,V
2019-04-01T00:00:00,1-1:6.8.2,8.0000,V
2019-04-01T00:00:00,1-1:7.8.1,492.0000,V
2019-04-01T00:00:00,1-1:7.8.2,217.0000,V
2019-04-01T00:00:00,1-1:8.8.1,755.0000,V
2019-04-01T00:00:00,1-1:8.8.2,2144.0000,V
