TimePeriodEnd,OBIS,Value,Status
2021-03-01T00:00:00,1-1:1.6.1,7.3000,V
2021-03-01T00:00:00,1-1:1.6.2,5.9000,V
2021-03-01T00:00:00,1-1:1.8.1,16825.5000,V
2021-03-01T00:00:00,1-1:1.8.2,31871.4000,V
2021-03-01T00:00:00,1-1:2.6.1,3.9000,V
2021-03-01T00:00:00,1-1:2.6.2,3.9000,V
2021-03-01T00:00:00,1-1:2.8.1,13336.2000,V
2021-03-01T00:00:00,1-1:2.8.2,7057.8000,V
2021-03-01T00:00:00,1-1:5.8.1,393.0000,V
2021-03-01T00:00:00,1-1:5.8.2,650.0000,V
2021-03-01T00:00:00,1-1:6.8.1,41.0000,V
2021-03-01T00:00:00,1-1:6.8.2,12.0000,V
2021-03-01T00:00:00,1-1:7.8.1,1757.0000,V
2021-03-01T00:00:00,1-1:7.8.2,905.0000,V
2021-03-01T00:00:00,1-1:8.8.1,2947.0000,V
2021-03-01T00:00:00,1-1:8.8.2,7489.0000,V
